ID,FPS,"LOOPTYPE(0 : Single, 1: Loop, 2 : PingPong)",,
Dead,10,0,,
,,,,
TEXTURE ID,LEFT,TOP,WIDTH,HEIGHT
graphics/Strikers1945/EnemyDead.png,0,0,16,16
graphics/Strikers1945/EnemyDead.png,17,0,16,16
graphics/Strikers1945/EnemyDead.png,34,0,16,16
graphics/Strikers1945/EnemyDead.png,51,0,16,16
graphics/Strikers1945/EnemyDead.png,68,0,16,16
graphics/Strikers1945/EnemyDead.png,85,0,16,16
graphics/Strikers1945/EnemyDead.png,102,0,16,16
graphics/Strikers1945/EnemyDead.png,119,0,16,16
graphics/Strikers1945/EnemyDead.png,136,0,16,16
graphics/Strikers1945/EnemyDead.png,153,0,16,16
