ID,FPS,"LOOPTYPE(0 : Single, 1: Loop, 2 : PingPong)",,
Idle,30,2,,
,,,,
TEXTURE ID,LEFT,TOP,WIDTH,HEIGHT
graphics/Strikers1945/assets/StageOneBoss.png,0,0,186,186
graphics/Strikers1945/assets/StageOneBoss.png,186,0,186,186
graphics/Strikers1945/assets/StageOneBoss.png,372,0,186,186
graphics/Strikers1945/assets/StageOneBoss.png,558,0,186,186
graphics/Strikers1945/assets/StageOneBoss.png,744,0,186,186
graphics/Strikers1945/assets/StageOneBoss.png,930,0,186,186
graphics/Strikers1945/assets/StageOneBoss.png,1116,0,186,186
graphics/Strikers1945/assets/StageOneBoss.png,1302,0,186,186
graphics/Strikers1945/assets/StageOneBoss.png,1488,0,186,186
graphics/Strikers1945/assets/StageOneBoss.png,1674,0,186,186
graphics/Strikers1945/assets/StageOneBoss.png,1860,0,186,186
graphics/Strikers1945/assets/StageOneBoss.png,2046,0,186,186
graphics/Strikers1945/assets/StageOneBoss.png,2232,0,186,186
graphics/Strikers1945/assets/StageOneBoss.png,2418,0,186,186
graphics/Strikers1945/assets/StageOneBoss.png,2604,0,186,186
graphics/Strikers1945/assets/StageOneBoss.png,2790,0,186,186
graphics/Strikers1945/assets/StageOneBoss.png,2976,0,186,186
graphics/Strikers1945/assets/StageOneBoss.png,3162,0,186,186
graphics/Strikers1945/assets/StageOneBoss.png,3348,0,186,186
graphics/Strikers1945/assets/StageOneBoss.png,3534,0,186,186
graphics/Strikers1945/assets/StageOneBoss.png,3720,0,186,186
graphics/Strikers1945/assets/StageOneBoss.png,3906,0,186,186
graphics/Strikers1945/assets/StageOneBoss.png,4092,0,186,186
graphics/Strikers1945/assets/StageOneBoss.png,4278,0,186,186
graphics/Strikers1945/assets/StageOneBoss.png,4464,0,186,186
graphics/Strikers1945/assets/StageOneBoss.png,4650,0,186,186
graphics/Strikers1945/assets/StageOneBoss.png,4836,0,186,186
graphics/Strikers1945/assets/StageOneBoss.png,5022,0,186,186
graphics/Strikers1945/assets/StageOneBoss.png,5208,0,186,186
graphics/Strikers1945/assets/StageOneBoss.png,5394,0,186,186
