ID,FPS,"LOOPTYPE(0 : Single, 1: Loop, 2 : PingPong)",,
Bomb,15,0,,
,,,,
TEXTURE ID,LEFT,TOP,WIDTH,HEIGHT
graphics/Strikers1945/Arcade - Strikers 1945 3 Strikers 1999 - F-4 Phantom.png,0,207,96,143
graphics/Strikers1945/Arcade - Strikers 1945 3 Strikers 1999 - F-4 Phantom.png,97,207,96,143
graphics/Strikers1945/Arcade - Strikers 1945 3 Strikers 1999 - F-4 Phantom.png,194,207,96,143
graphics/Strikers1945/Arcade - Strikers 1945 3 Strikers 1999 - F-4 Phantom.png,291,207,96,143
graphics/Strikers1945/Arcade - Strikers 1945 3 Strikers 1999 - F-4 Phantom.png,388,207,96,143
graphics/Strikers1945/Arcade - Strikers 1945 3 Strikers 1999 - F-4 Phantom.png,0,351,96,143
graphics/Strikers1945/Arcade - Strikers 1945 3 Strikers 1999 - F-4 Phantom.png,97,351,96,143
graphics/Strikers1945/Arcade - Strikers 1945 3 Strikers 1999 - F-4 Phantom.png,194,351,96,143
graphics/Strikers1945/Arcade - Strikers 1945 3 Strikers 1999 - F-4 Phantom.png,291,351,96,143
graphics/Strikers1945/Arcade - Strikers 1945 3 Strikers 1999 - F-4 Phantom.png,388,351,96,143
graphics/Strikers1945/Arcade - Strikers 1945 3 Strikers 1999 - F-4 Phantom.png,0,495,96,143
graphics/Strikers1945/Arcade - Strikers 1945 3 Strikers 1999 - F-4 Phantom.png,97,495,96,143
graphics/Strikers1945/Arcade - Strikers 1945 3 Strikers 1999 - F-4 Phantom.png,194,495,96,143
graphics/Strikers1945/Arcade - Strikers 1945 3 Strikers 1999 - F-4 Phantom.png,291,495,96,143
graphics/Strikers1945/Arcade - Strikers 1945 3 Strikers 1999 - F-4 Phantom.png,388,495,96,143
graphics/Strikers1945/Arcade - Strikers 1945 3 Strikers 1999 - F-4 Phantom.png,0,639,96,143
graphics/Strikers1945/Arcade - Strikers 1945 3 Strikers 1999 - F-4 Phantom.png,97,639,96,143
graphics/Strikers1945/Arcade - Strikers 1945 3 Strikers 1999 - F-4 Phantom.png,194,639,96,143
graphics/Strikers1945/Arcade - Strikers 1945 3 Strikers 1999 - F-4 Phantom.png,291,639,96,143
graphics/Strikers1945/Arcade - Strikers 1945 3 Strikers 1999 - F-4 Phantom.png,388,639,96,143
graphics/Strikers1945/Arcade - Strikers 1945 3 Strikers 1999 - F-4 Phantom.png,0,783,96,143
graphics/Strikers1945/Arcade - Strikers 1945 3 Strikers 1999 - F-4 Phantom.png,97,783,96,143
graphics/Strikers1945/Arcade - Strikers 1945 3 Strikers 1999 - F-4 Phantom.png,194,783,96,143
graphics/Strikers1945/Arcade - Strikers 1945 3 Strikers 1999 - F-4 Phantom.png,291,783,96,143
graphics/Strikers1945/Arcade - Strikers 1945 3 Strikers 1999 - F-4 Phantom.png,388,783,96,143
graphics/Strikers1945/Arcade - Strikers 1945 3 Strikers 1999 - F-4 Phantom.png,0,927,96,143
graphics/Strikers1945/Arcade - Strikers 1945 3 Strikers 1999 - F-4 Phantom.png,97,927,96,143
graphics/Strikers1945/Arcade - Strikers 1945 3 Strikers 1999 - F-4 Phantom.png,194,927,96,143
graphics/Strikers1945/Arcade - Strikers 1945 3 Strikers 1999 - F-4 Phantom.png,291,927,96,143
graphics/Strikers1945/Arcade - Strikers 1945 3 Strikers 1999 - F-4 Phantom.png,388,927,96,143
graphics/Strikers1945/Arcade - Strikers 1945 3 Strikers 1999 - F-4 Phantom.png,0,1071,96,143
graphics/Strikers1945/Arcade - Strikers 1945 3 Strikers 1999 - F-4 Phantom.png,97,1071,96,143
graphics/Strikers1945/Arcade - Strikers 1945 3 Strikers 1999 - F-4 Phantom.png,194,1071,96,143
graphics/Strikers1945/Arcade - Strikers 1945 3 Strikers 1999 - F-4 Phantom.png,291,1071,96,143
graphics/Strikers1945/Arcade - Strikers 1945 3 Strikers 1999 - F-4 Phantom.png,388,1071,96,143
graphics/Strikers1945/Arcade - Strikers 1945 3 Strikers 1999 - F-4 Phantom.png,0,1215,96,143
graphics/Strikers1945/Arcade - Strikers 1945 3 Strikers 1999 - F-4 Phantom.png,97,1215,96,143
graphics/Strikers1945/Arcade - Strikers 1945 3 Strikers 1999 - F-4 Phantom.png,194,1215,96,143
graphics/Strikers1945/Arcade - Strikers 1945 3 Strikers 1999 - F-4 Phantom.png,291,1215,96,143
graphics/Strikers1945/Arcade - Strikers 1945 3 Strikers 1999 - F-4 Phantom.png,388,1215,96,143
graphics/Strikers1945/Arcade - Strikers 1945 3 Strikers 1999 - F-4 Phantom.png,0,1359,96,143
graphics/Strikers1945/Arcade - Strikers 1945 3 Strikers 1999 - F-4 Phantom.png,97,1359,96,143
graphics/Strikers1945/Arcade - Strikers 1945 3 Strikers 1999 - F-4 Phantom.png,194,1359,96,143
graphics/Strikers1945/Arcade - Strikers 1945 3 Strikers 1999 - F-4 Phantom.png,291,1359,96,143
graphics/Strikers1945/Arcade - Strikers 1945 3 Strikers 1999 - F-4 Phantom.png,388,1359,96,143
graphics/Strikers1945/Arcade - Strikers 1945 3 Strikers 1999 - F-4 Phantom.png,0,1503,96,143
graphics/Strikers1945/Arcade - Strikers 1945 3 Strikers 1999 - F-4 Phantom.png,97,1503,96,143
