ID,FPS,"LOOPTYPE(0 : Single, 1: Loop, 2 : PingPong)",,
Run,20,1,,
,,,,
TEXTURE ID,LEFT,TOP,WIDTH,HEIGHT
graphics/PixelmanBoost/MainCharacters/MaskDude/Run.png,0,0,32,32
graphics/PixelmanBoost/MainCharacters/MaskDude/Run.png,32,0,32,32
graphics/PixelmanBoost/MainCharacters/MaskDude/Run.png,64,0,32,32
graphics/PixelmanBoost/MainCharacters/MaskDude/Run.png,96,0,32,32
graphics/PixelmanBoost/MainCharacters/MaskDude/Run.png,128,0,32,32
graphics/PixelmanBoost/MainCharacters/MaskDude/Run.png,160,0,32,32
graphics/PixelmanBoost/MainCharacters/MaskDude/Run.png,192,0,32,32
graphics/PixelmanBoost/MainCharacters/MaskDude/Run.png,224,0,32,32
graphics/PixelmanBoost/MainCharacters/MaskDude/Run.png,256,0,32,32
graphics/PixelmanBoost/MainCharacters/MaskDude/Run.png,288,0,32,32
graphics/PixelmanBoost/MainCharacters/MaskDude/Run.png,320,0,32,32
graphics/PixelmanBoost/MainCharacters/MaskDude/Run.png,352,0,32,32
